group,b,N,batch,factor_idx,log_n,time_ms
single_factor,4,512,1,5,7,0.12822527885437013
single_factor,4,512,1,6,7,0.12783616065979003
single_factor,4,512,2,0,7,0.10574848175048829
single_factor,4,512,2,1,7,0.12758015632629394
single_factor,4,512,2,2,7,0.1273958396911621
single_factor,4,512,2,3,7,0.12743680000305177
single_factor,4,512,2,4,7,0.12793855667114257
single_factor,4,512,2,5,7,0.1274880027770996
single_factor,4,512,2,6,7,0.12693504333496095
single_factor,4,512,4,0,7,0.10557439804077148
single_factor,4,512,4,1,7,0.12803071975708008
single_factor,4,512,4,2,7,0.12760064125061035
single_factor,4,512,4,3,7,0.1276416015625
single_factor,4,512,4,4,7,0.1272217559814453
single_factor,4,512,4,5,7,0.12776448249816894
single_factor,4,512,4,6,7,0.1278771209716797
single_factor,4,512,8,0,7,0.10540032386779785
single_factor,4,512,8,1,7,0.1277030372619629
single_factor,4,512,8,2,7,0.12720128059387206
single_factor,4,512,8,3,7,0.12738559722900392
single_factor,4,512,8,4,7,0.12820480346679688
single_factor,4,512,8,5,7,0.1274675178527832
single_factor,4,512,8,6,7,0.12735487937927245
single_factor,4,512,16,0,7,0.10477567672729492
single_factor,4,512,16,1,7,0.12727295875549316
single_factor,4,512,16,2,7,0.12744704246520996
single_factor,4,512,16,3,7,0.12744704246520996
single_factor,4,512,16,4,7,0.1276211166381836
single_factor,4,512,16,5,7,0.12734463691711426
single_factor,4,512,16,6,7,0.12724224090576172
single_factor,4,512,32,0,7,0.10502143859863282
single_factor,4,512,32,1,7,0.12801024436950684
single_factor,4,512,32,2,7,0.1274880027770996
single_factor,4,512,32,3,7,0.12797951698303223
single_factor,4,512,32,4,7,0.1283993625640869
single_factor,4,512,32,5,7,0.12833791732788086
single_factor,4,512,32,6,7,0.12866559982299805
single_factor,4,512,64,0,7,0.10583040237426758
single_factor,4,512,64,1,7,0.12834815979003905
single_factor,4,512,64,2,7,0.12801024436950684
single_factor,4,512,64,3,7,0.12808192253112793
single_factor,4,512,64,4,7,0.12816384315490723
single_factor,4,512,64,5,7,0.12759039878845216
single_factor,4,512,64,6,7,0.12944383621215821
single_factor,4,512,128,0,7,0.10584063529968261
single_factor,4,512,128,1,7,0.12791808128356932
single_factor,4,512,128,2,7,0.1283993625640869
single_factor,4,512,128,3,7,0.12793855667114257
single_factor,4,512,128,4,7,0.12778495788574218
single_factor,4,512,128,5,7,0.12793855667114257
single_factor,4,512,128,6,7,0.12738559722900392
single_factor,4,512,256,0,7,0.10502143859863282
single_factor,4,512,256,1,7,0.1280512046813965
single_factor,4,512,256,2,7,0.12759039878845216
single_factor,4,512,256,3,7,0.12783616065979003
single_factor,4,512,256,4,7,0.12790783882141113
